region,price,dateISO,regionDesc,country
2,1.2,01/09/2021,London,England
2,0.58999997,01/01/2011,London,England
2,1,01/01/2016,London,England
2,0.69,01/05/2022,London,England
2,0.38999999,01/10/1990,London,England
2,0.80000001,01/11/2021,London,England
2,1.1900001,01/12/2018,London,England
2,0.79000002,01/12/2018,London,England
2,0.25,01/03/1997,London,England
2,0.77999997,01/06/1996,London,England
2,1.75,01/08/2020,London,England
2,0.60000002,01/11/2006,London,England
2,1.25,01/10/2011,London,England
2,1,01/05/2022,London,England
2,0.80000001,01/07/2018,London,England
2,1.1,01/04/2018,London,England
2,1,01/12/2018,London,England
2,0.81999999,01/07/2021,London,England
2,0.85000002,01/09/2003,London,England
2,0.2,01/11/2003,London,England
2,1.39,01/05/2012,London,England
2,0.5,01/12/2008,London,England
2,1.25,01/12/2018,London,England
2,0.49000001,01/06/1995,London,England
2,0.88999999,01/08/2010,London,England
2,0.98000002,01/03/2019,London,England
2,0.69999999,01/05/1995,London,England
2,0.98000002,01/12/2018,London,England
2,0.75,01/07/2022,London,England
2,0.89999998,01/12/2018,London,England
2,0.75,01/07/2020,London,England
2,0.81999999,01/09/2009,London,England
2,1,01/12/2018,London,England
2,0.87,01/08/2008,London,England
2,0.40000001,01/06/1991,London,England
2,0.30000001,01/10/2018,London,England
2,0.79000002,01/10/2003,London,England
2,0.79000002,01/12/2018,London,England
2,0.5,01/06/2009,London,England
2,1.75,01/08/2020,London,England
2,0.79000002,01/04/2007,London,England
2,0.34,01/03/2022,London,England
2,1,01/03/2016,London,England
2,0.99000001,01/08/2006,London,England
2,0.80000001,01/08/1995,London,England
2,0.69999999,01/12/2006,London,England
2,1,01/11/2018,London,England
2,0.89999998,01/03/2020,London,England
2,1,01/01/2016,London,England
2,0.60000002,01/06/1997,London,England
2,1.1,01/04/2018,London,England
2,0.98000002,01/02/2001,London,England
2,0.89999998,01/06/2008,London,England
2,1.25,01/06/2004,London,England
2,0.38999999,01/11/1994,London,England
2,0.58999997,01/09/2002,London,England
2,0.58999997,01/03/2012,London,England
2,0.49000001,01/01/1990,London,England
2,1,01/09/2020,London,England
2,0.38999999,01/05/1994,London,England
2,1,01/06/2011,London,England
2,0.69,01/07/1989,London,England
2,1,01/08/2012,London,England
2,1,01/05/2015,London,England
2,1.05,01/02/2014,London,England
2,0.68000001,01/10/2000,London,England
2,0.85000002,01/05/2018,London,England
2,0.80000001,01/04/2022,London,England
2,0.88999999,01/01/2018,London,England
2,0.33000001,01/03/2001,London,England
2,0.58999997,01/05/2006,London,England
2,1.1,01/12/2011,London,England
2,0.38999999,01/01/1996,London,England
2,0.89999998,01/04/2015,London,England
2,1,01/11/2019,London,England
2,0.98000002,01/11/2018,London,England
2,0.5,01/05/1994,London,England
2,0.79000002,01/11/2018,London,England
2,1.1,01/07/2022,London,England
2,0.79000002,01/07/2007,London,England
2,0.57999998,01/05/1994,London,England
2,1.1,01/05/2017,London,England
2,1.1,01/04/2018,London,England
2,0.85000002,01/08/1999,London,England
2,0.5,01/08/2002,London,England
2,0.47999999,01/06/1998,London,England
2,0.69,01/11/2007,London,England
2,0.44,01/05/1997,London,England
2,1.5,01/09/2022,London,England
2,0.94999999,01/06/2018,London,England
2,0.75,01/11/2002,London,England
2,1,01/11/2014,London,England
2,1,01/10/2020,London,England
2,0.69,01/12/2000,London,England
2,1.1,01/11/2018,London,England
2,1,01/05/2019,London,England
2,0.60000002,01/06/1994,London,England
2,1.1,01/11/2018,London,England
2,0.69,01/11/1997,London,England
2,0.79000002,01/12/2010,London,England
2,0.85000002,01/07/2021,London,England
2,0.88999999,01/06/1994,London,England
2,0.82999998,01/02/2005,London,England
2,0.97000003,01/11/2018,London,England
2,0.80000001,01/10/2020,London,England
2,0.98000002,01/11/2018,London,England
2,0.68000001,01/05/1997,London,England
2,0.58999997,01/04/1997,London,England
2,0.47999999,01/09/1992,London,England
2,1.03,01/04/2011,London,England
2,0.30000001,01/03/2008,London,England
2,0.69,01/08/1995,London,England
2,0.40000001,01/02/1996,London,England
2,1,01/06/2016,London,England
2,0.44999999,01/03/1994,London,England
2,0.79000002,01/12/2015,London,England
2,0.88999999,01/05/2010,London,England
2,0.5,01/07/1998,London,England
2,0.89999998,01/01/2004,London,England
2,0.98000002,01/09/2004,London,England
2,0.94999999,01/09/1990,London,England
2,1.2,01/11/2018,London,England
2,0.77999997,01/10/2006,London,England
2,1,01/09/2011,London,England
2,0.25,01/11/2018,London,England
2,0.69999999,01/09/2020,London,England
2,0.38999999,01/06/1994,London,England
2,1,01/06/2014,London,England
2,0.5,01/03/1998,London,England
2,1,01/08/2018,London,England
2,1.25,01/11/2018,London,England
2,0.98000002,01/11/2018,London,England
2,0.5,01/11/2018,London,England
2,0.58999997,01/04/2010,London,England
2,0.25,01/02/1995,London,England
2,0.80000001,01/03/2021,London,England
2,0.60000002,01/09/1997,London,England
2,0.69,01/03/2022,London,England
2,0.79000002,01/11/2018,London,England
2,1.25,01/08/2014,London,England
2,1.3,01/05/2015,London,England
2,1.25,01/09/2019,London,England
2,0.44999999,01/07/1994,London,England
2,0.38999999,01/10/1992,London,England
2,0.68000001,01/06/1994,London,England
2,0.98000002,01/11/2018,London,England
2,1,01/11/2018,London,England
2,1.35,01/03/2016,London,England
2,0.75,01/10/2003,London,England
2,0.49000001,01/07/1993,London,England
2,0.88,01/07/2022,London,England
2,0.44999999,01/09/1993,London,England
2,0.38999999,01/11/2019,London,England
2,1.25,01/08/2018,London,England
2,0.60000002,01/04/1998,London,England
2,0.75,01/07/2021,London,England
2,1,01/12/2008,London,England
2,0.94999999,01/06/2010,London,England
2,0.68000001,01/05/1990,London,England
2,1,01/10/2019,London,England
2,1,01/06/2013,London,England
2,0.30000001,01/03/2022,London,England
2,0.94999999,01/11/2020,London,England
2,0.55000001,01/02/2000,London,England
2,0.99000001,01/04/2011,London,England
2,0.66000003,01/09/2018,London,England
2,0.5,01/06/2010,London,England
2,0.89999998,01/11/2021,London,England
2,0.81999999,01/05/2009,London,England
2,1,01/05/2013,London,England
2,1,01/02/2020,London,England
2,1.25,01/07/2013,London,England
2,0.99000001,01/07/2018,London,England
2,0.79000002,01/07/2007,London,England
2,0.99000001,01/10/2018,London,England
2,1,01/07/2018,London,England
2,0.75,01/10/2021,London,England
2,0.64999998,01/02/2002,London,England
2,0.79000002,01/10/2010,London,England
2,0.88999999,01/09/2018,London,England
2,2.5,01/03/2022,London,England
2,0.68000001,01/04/1989,London,England
2,1.1,01/11/2018,London,England
2,1,01/05/2015,London,England
2,0.98000002,01/10/2018,London,England
2,0.75,01/08/2011,London,England
2,0.69999999,01/08/2021,London,England
2,0.60000002,01/09/1996,London,England
2,2.75,01/05/2019,London,England
2,1.05,01/01/2013,London,England
2,2,01/06/2019,London,England
2,0.69,01/06/1994,London,England
2,1.27,01/01/2008,London,England
2,0.58999997,01/04/1997,London,England
2,0.60000002,01/06/2000,London,England
2,0.79000002,01/07/1994,London,England
2,0.69999999,01/09/2005,London,England
2,0.60000002,01/10/1994,London,England
2,0.5,01/08/1995,London,England
2,0.70999998,01/08/2001,London,England
2,0.89999998,01/12/2017,London,England
2,1.25,01/06/2013,London,England
2,0.94999999,01/04/2003,London,England
2,0.88999999,01/05/2009,London,England
2,0.88999999,01/01/2016,London,England
2,1.49,01/04/2021,London,England
2,0.60000002,01/12/2004,London,England
2,0.89999998,01/10/2018,London,England
2,0.88999999,01/11/2002,London,England
2,0.38999999,01/06/1998,London,England
2,0.58999997,01/07/1994,London,England
2,0.98000002,01/03/2019,London,England
2,1.1,01/10/2018,London,England
2,1,01/04/2019,London,England
2,1.25,01/10/2018,London,England
2,0.75,01/07/2021,London,England
2,0.79000002,01/10/2018,London,England
2,0.89999998,01/05/2005,London,England
2,0.33000001,01/12/1992,London,England
2,0.88,01/01/2022,London,England
2,1.25,01/07/2009,London,England
2,1.25,01/10/2018,London,England
2,0.47999999,01/05/2019,London,England
