dateISO,p_mean,regionDesc,country
01/12/2014,0.94190478,South West,England
01/12/2014,0.93291664,East Anglia,England
01/12/2014,0.89999998,East Midlands,England
01/12/2014,0.93388891,West Midlands,England
01/12/2014,0.90941179,Yorkshire & Humber,England
01/12/2014,0.89391303,North West,England
01/12/2014,0.83499998,North,England
01/12/2014,0.93699998,Wales,Wales
01/12/2014,0.97666669,Scotland,Scotland
01/12/2014,1.095,Northern Ireland,Northern Ireland
01/01/2015,0.8996774,London,England
01/01/2015,0.87181818,South East,England
01/01/2015,0.89454544,South West,England
01/01/2015,0.90260869,East Anglia,England
01/01/2015,0.8757143,East Midlands,England
01/01/2015,0.86533332,West Midlands,England
01/01/2015,0.9313333,Yorkshire & Humber,England
01/01/2015,0.88499999,North West,England
01/01/2015,0.94,North,England
01/01/2015,0.85250002,Wales,Wales
01/01/2015,0.88266665,Scotland,Scotland
01/01/2015,1.0814285,Northern Ireland,Northern Ireland
01/02/2015,0.95099998,London,England
01/02/2015,0.93064517,South East,England
01/02/2015,0.94949996,South West,England
01/02/2015,0.95181817,East Anglia,England
01/02/2015,0.96428573,East Midlands,England
01/02/2015,0.91533333,West Midlands,England
01/02/2015,0.93562502,Yorkshire & Humber,England
01/02/2015,0.88095236,North West,England
01/02/2015,0.90222222,North,England
01/02/2015,0.89499998,Wales,Wales
01/02/2015,0.97133332,Scotland,Scotland
01/02/2015,1.0966667,Northern Ireland,Northern Ireland
01/03/2015,0.96562499,London,England
01/03/2015,0.92918921,South East,England
01/03/2015,0.89736843,South West,England
01/03/2015,0.95913047,East Anglia,England
01/03/2015,0.87874997,East Midlands,England
01/03/2015,0.9252941,West Midlands,England
01/03/2015,0.89722222,Yorkshire & Humber,England
01/03/2015,0.8422727,North West,England
01/03/2015,0.89200002,North,England
01/03/2015,0.917,Wales,Wales
01/03/2015,0.94631577,Scotland,Scotland
01/03/2015,1.0983334,Northern Ireland,Northern Ireland
01/04/2015,0.95187497,London,England
01/04/2015,0.96171427,South East,England
01/04/2015,1.0036364,South West,England
01/04/2015,0.96086955,East Anglia,England
01/04/2015,0.90294117,East Midlands,England
01/04/2015,0.93937498,West Midlands,England
01/04/2015,0.95450002,Yorkshire & Humber,England
01/04/2015,0.90499997,North West,England
01/04/2015,0.92909092,North,England
01/04/2015,0.92699999,Wales,Wales
01/04/2015,0.94,Scotland,Scotland
01/04/2015,1.0828571,Northern Ireland,Northern Ireland
01/05/2015,0.94599998,London,England
01/05/2015,0.94484848,South East,England
01/05/2015,0.97315788,South West,England
01/05/2015,0.958,East Anglia,England
01/05/2015,0.94285715,East Midlands,England
01/05/2015,0.94352943,West Midlands,England
01/05/2015,0.93187499,Yorkshire & Humber,England
01/05/2015,0.91399997,North West,England
01/05/2015,0.912,North,England
01/05/2015,0.91777778,Wales,Wales
01/05/2015,0.96950001,Scotland,Scotland
01/05/2015,1.05875,Northern Ireland,Northern Ireland
01/06/2015,0.89885712,London,England
01/06/2015,0.90421051,South East,England
01/06/2015,1.0071429,South West,England
01/06/2015,0.92760003,East Anglia,England
01/06/2015,0.77812499,East Midlands,England
01/06/2015,0.95529413,West Midlands,England
01/06/2015,0.89117646,Yorkshire & Humber,England
01/06/2015,0.93119997,North West,England
01/06/2015,0.86727273,North,England
01/06/2015,0.912,Wales,Wales
01/06/2015,0.84260869,Scotland,Scotland
01/06/2015,1.1525,Northern Ireland,Northern Ireland
01/07/2015,0.99400002,London,England
01/07/2015,0.97500002,South East,England
01/07/2015,1.0090476,South West,England
01/07/2015,0.99260867,East Anglia,England
01/07/2015,0.92812502,East Midlands,England
01/07/2015,1.0223529,West Midlands,England
01/07/2015,0.96625,Yorkshire & Humber,England
01/07/2015,0.92821431,North West,England
01/07/2015,0.94181818,North,England
01/07/2015,0.93599999,Wales,Wales
01/07/2015,0.96869564,Scotland,Scotland
01/07/2015,1.26,Northern Ireland,Northern Ireland
01/08/2015,0.9108333,London,England
01/08/2015,0.96545452,South East,England
01/08/2015,0.99900001,South West,England
01/08/2015,0.92636365,East Anglia,England
01/08/2015,0.85866666,East Midlands,England
01/08/2015,1.0094445,West Midlands,England
